ID	搜证轮数	分类Id	线索内容	线索图	是否隐藏（）	音频文件	详情图
Id	SrchNum	TypeId	Line	Pic	Hide	Sound	DetailPic
int	int 	int	string	int	boolean	int	string
1	1	1	死者私人住所的所有物品都安装了感应器，只要移动过物品，感应器将会记录下来，记录的物品有：胶带、遥控飞机、洗漱及清洁用品、避孕套、毒品、日本武士刀。胶带少了不到半米，毒品少了数克。\n遥控飞机最多可以承载20KG的重物。你们实验后发现，身躯部位的尸块远大于20KG，遥控飞机无法将其拉起。	1001
2	1	1	死者的房间放着很多女士衣物及女性内衣内裤，女性假发等，同时还找到了一本日记本。日记描述死者恋爱了，他很爱自己的恋人，可以满足爱人任何不过分的要求。日记还描述死者很喜欢院子里的雕像，不愿任何人碰触它，就连他的恋人也不例外。	1002
3	1	2	室外天气非常冷，没有人可以在不穿外套和保暖裤的情况下待在室外。	1003
4	1	2	景观河，为了让景观河可以在冬天流动，所以景观河有强力加热化冰功能，发现时景观河的控制器为关闭状态。	1004
5	1	2	为了不让雕像受到降雪影响，死者在雕像里安装了自动加热装置，使得雕像不会积雪，死者非常喜欢这座雕像，还给雕像头部以下的地方，也就是一般人能摸到的地方安装了感应器，雕像的感应器显示没有任何人触碰过雕像。	1005
6	1	2	雕像身后的石椅，石椅长2.5米宽40公分，高0.5米，上面只有少量杂乱的雪迹。石椅固定在地上，无法搬动。	1006
7	1	2	"1.死者身穿黑色男士风衣，白色保暖内衣裤，黑色男士休闲裤，但因为分尸的缘故，衣服虽然穿在身上，但在切口处都有不同程度的撕裂。凶器掉在尸体旁，尸体四周的脚印很杂乱，地上有大量血迹。\n2.沉思的爱洛斯的雕像，与之前案件二油画里的样子一样。雕像高四米，爱洛斯的四条尾巴分别朝向雪地的四个角。\n3.雪地四个角的亭子，亭子高4.2米，每个亭子里的中央都放着一个守护神神龛。亭子没有任何攀爬痕迹，亭子上方的雪也没有任何异常。\n4.雪地上的脚印，对比发现是女靴的脚印，朝向向着室内，没有任何奇怪的痕迹。脚印与房间通行记录扫描器里的记录对比后发现确认为嫌疑人进入房间时穿的女靴。除这串脚印外其他地方没有任何可疑的痕迹。所有脚印的深浅并无明显区别。\n5.雕像的四条尾巴分别代表正义、公平、悲悯、仁义，尾巴与雕像齐高，尾端高度略微降低，朝向四个角的神龛亭。\n6.木桥，上面全是积雪，也只有一串女靴脚印。\n7.景观河，为了迎合死者喜好也为了防止有人在里面游泳，河水为特殊材质的红色水，被红水沾上的衣服无法清洗干净，景观河在正常情况下会流动，但现在河水已经结冰，冰面十分干净亮泽，没有任何鞋子踩过的痕迹。\n8.私人住所的入口为指纹锁，仅外部解锁需要指纹。只有死者和泰勒的指纹可以开门，关闭会自动上锁，除此之外还有一个感应记录装置。
"	1007			10071
8	1	2	私人住所的入口被死者安装了一个奇怪的发明，可以感应扫描进来的人面部以下身上的所有物品。\n感应记录（从早到晚的顺序）：\n1.干净的灰色女士羽绒服 粉色女士保暖休闲裤 黑色手套 黑色女靴 短袜 手机 女士内裤胸罩 进入（与雪地脚印符合）\n2.干净的黑色男士羽绒服 黑色男士保暖休闲裤 黑色男鞋 白色内衣裤 短袜 手机 进入（与死者穿着吻合）\n3.沾满鲜血的灰色女士羽绒服 沾满鲜血的粉色女士保暖休闲裤 黑色手套 黑色女靴 女士内裤 胸罩 短袜 手机 离开\n4.三哥目击者进入（因为不重要省去所穿衣物）	1008
9	1	1	尸体共分成左手、右手、左前臂、右前臂、左后臂、右后臂、身躯、头颅、左小腿及脚、左大腿、右小腿及脚、右大腿，共十二块。所有尸块和衣物均没有任何捆绑、摩擦、冰冻、胶带粘贴的痕迹。\n尸体出现了肌肉痉挛现象，浑身的肌肉处于紧绷状态。这种现象就如战死在战场上的武士手里还死死握住武士刀那样，不借助工具无法将死者的手掰开。死者死前吸过毒，所以死之前处于非常兴奋的状态，这也是为什么产生尸体痉挛现象的原因。尸体的左脚和右脚已经完全绷直，与小腿呈一百二十度夹角，两只手因为肌肉群较少，故呈自然摊开状。	1009
