ID	搜证轮数	分类Id	线索内容	线索图	是否隐藏（）	音频文件	详情图
Id	SrchNum	TypeId	Line	Pic	Hide	Sound	DetailPic
int	int 	int	string	int	boolean	int	string
1	1	1	在9月16日那天，陈怀安在青楼与人商谈军火买卖。	1001
2	1	1	9月17日当天，陈怀安出城赶往了乌兰镇。	1002
3	1	1	9月18日有人看到陈怀安在骆驼的马车上。	1003
4	1	2	蒋古城是本月才回到孤城的。不但是青楼常客，还在孤城有一座宅院。	1004
5	1	2	在今天上午，有人看到蒋古城到医院去包扎伤口。	1005
6	1	2	在9月16日那天，青楼发生枪击案过后，蒋古城急匆匆的	1006
7	1	3	9月15日是丽 bh m丽娜依的生日，那天骆驼去过她的老家乌兰。	1007
8	1	3	9月18日那天丽丽娜依与夜神一同来到了孤城但紧接着就去了医院。	1008
9	1	3	丽丽娜依那副耳环的价值绝对超乎你的想象。	1009
10	1	4	9月17日那天，柳湘人出现在某组织的情报站内。	1010
11	1	4	在今天上午，柳湘人将一个浑身是血的男人送进了医院。	1011
12	1	4	9月17日，有人看到柳湘人进入青楼，一直在某房间外偷听。	1012
13	1	5	在今天上午的青楼枪击案现场，有人看到楼小兰跳窗而跳。	1013
14	1	5	9月17日那天，楼小兰与神秘人出现在青楼内。	1014
15	1	5	今天上午有人看到楼小兰与铁男在青楼外交谈。	1015
16	1	6	今天上午，铁男在青楼与一位神秘人会面。	1016
17	1	6	铁男9月16日在青楼出现，并且一直跟踪窥探某人。	1017
18	1	6	9月17日，有人看到铁男急冲冲赶往了乌兰镇。	1018
19	1	7	9月15日夜里，夜神从青楼带走了三个女人，至今未归。	1019
20	1	7	9月16日的青楼枪击案后，夜神便从孤城消失了。直到今天上午才出现。	1020
21	1	7	9月16日那天，有人看到夜神在青楼与人喝花酒。	1021
22	2	1	101房间的正厅内有一尊高大的木质关公像。但手持的青龙偃月刀上却有少量血迹渗入。	1022
23	2	2	102房间内有一盏军用煤油灯。房间外的绿植有折损和落叶。	1023
24	2	3	103房间角落里洒落大量毒鼠强。柜子里还有一包毒鼠强和一包被拆开的安眠药粉。	1024
25	2	4	202房间内发现一把日本短刀。	1025
26	2	5	301房间内有一把镇宅宝剑。柜子里的红酒少了半瓶。	1026
27	2	6	302房间内有一把牧人短刀。	1027
28	2	7	303房间原本捆绑杂物的绳子不见了。	1028
29	3	1	今天上午，有人看到骆驼去过陈怀安家。翻墙进入他家后便响起了枪声。随后骆驼就驾着马车跑了。	1029
30	3	1	9月16日那天，骆驼在青楼被刺杀。腿部中枪后跳窗逃脱，一瘸一拐的跑回了孤城客栈。	1030
31	3	1	今天上午，骆驼的马车在路过青楼时马匹受惊。随后翻入了旁边的土坡，这才使得骆驼身受重伤。	1031
32	3	1	摩尔斯房间内的桌子上有一盆水，盆边有不少蚂蚁。	1032
33	3	1	摩尔斯身上有一封来自日本的信件：\n尊敬的老师：\n据我所知在9月18日军部将在沈阳有所行动。所以为了您的安危，还是选择尽快回国，或者隐藏起来，以免在9月18日后，激动的中国人对你不利。	1033
34	3	1	骆驼和摩尔斯在9月17日那天一直在房间没有出门。	1034
35	3	1	有人看到骆驼15号那天去过乌兰，回来的路上特意去了土匪老巢。说乌兰镇富得流油，只要灭了乌兰镇，匪巢至少能吃上三年。	1035
36	2	8	尸体在床上，口鼻无烟尘吸入，浑身皮肤均有重度烧伤。尸体颈部皮肤虽已烧焦，但依稀可以看出有异常破损。	1036
37	2	8	骆驼床边的地板、窗边的墙壁上有异常黑斑。这是在起火前滴落或喷溅了粘稠状液体导致的。在尸体枕边有一团褐色的胶状物体。（丽丽娜依可能比较熟悉这种胶）	1037
38	2	8	从仓库窗外到201窗外屋檐上的瓦片有不少破损。并且在窗外屋脊的角落里发现了一根带血的绳子。	1038
39	2	8	前来救火的客栈杂役说，他进内院救火时发现一楼的大门被撬动过，在一楼院子内还发现一个带血迹的抹布。进入201房门后，看到原本放在门旁桌子上的炭火盆被打翻在地。不过那个炭火盆是前天的，所以一定是早就熄灭了。	1039
